League,Clube,Vitórias,Sem derrotas,Sem vitórias,Perdeu,A zero,Cartões amarelos,Cartões vermelhos,Duplo amarelo,Duplo amarelo.1,Pontos,Derrotas,Empate,Jogos a perder,Jogos com liderança,Cabeceio,Canhotos,Destros,Penalidade,Tiro livre,Total,Golos total,Marcadores diferentes,Estrangeiros,Plantel,Valor de mercado total,ø-Idade,ø-valor de mercado,Golos,Remates à baliza,Taxa
GB1,Newcastle United,0.0,0.0,3.0,1.0,0.0,21,1,1,2,29,,,,,5.0,5.0,11.0,3.0,0.0,26.0,26.0,10.0,14.0,29.0,"714,95 M €","27,5","24,65 M €",26.0,326.0,"8,0 %"
GB1,AFC Bournemouth,0.0,3.0,8.0,0.0,0.0,42,1,0,1,47,,,,,1.0,8.0,8.0,2.0,2.0,29.0,29.0,11.0,19.0,25.0,"483,85 M €","25,2","19,35 M €",29.0,360.0,"8,1 %"
GB1,Nottingham Forest,0.0,0.0,2.0,2.0,0.0,30,0,0,0,30,,,,,4.0,4.0,8.0,1.0,0.0,18.0,18.0,11.0,22.0,29.0,"627,60 M €","26,4","21,64 M €",18.0,322.0,"5,6 %"
GB1,West Ham United,0.0,0.0,6.0,2.0,0.0,25,1,1,2,33,,,,,3.0,5.0,5.0,2.0,0.0,21.0,20.0,7.0,18.0,25.0,"371,25 M €","27,3","14,85 M €",21.0,254.0,"8,3 %"
GB1,FC Burnley,0.0,2.0,9.0,0.0,1.0,23,1,1,2,31,,,,,4.0,8.0,5.0,2.0,0.0,20.0,20.0,9.0,25.0,32.0,"253,75 M €","26,8","7,93 M €",20.0,234.0,"8,5 %"
GB1,Wolverhampton Wanderers,0.0,0.0,17.0,10.0,0.0,37,2,0,2,47,,,,,3.0,2.0,4.0,1.0,0.0,11.0,10.0,8.0,24.0,26.0,"353,60 M €","26,4","13,60 M €",11.0,234.0,"4,7 %"
ES1,FC Barcelona,8.0,8.0,0.0,0.0,2.0,23,0,2,2,29,2.0,0.0,8.0,16.0,6.0,13.0,24.0,4.0,0.0,51.0,50.0,12.0,10.0,24.0,"1,12 mil M €","25,4","46,54 M €",51.0,483.0,"10,6 %"
ES1,RCD Espanyol,5.0,5.0,0.0,0.0,0.0,30,1,1,2,38,4.0,1.0,7.0,12.0,7.0,5.0,5.0,3.0,0.0,22.0,22.0,8.0,7.0,24.0,"107,20 M €","26,7","4,47 M €",22.0,301.0,"7,3 %"
ES1,Real Madrid CF,2.0,2.0,0.0,0.0,1.0,29,4,1,5,52,2.0,2.0,5.0,14.0,3.0,3.0,17.0,6.0,0.0,36.0,36.0,10.0,18.0,25.0,"1,38 mil M €","26,1","55,08 M €",36.0,483.0,"7,5 %"
ES1,Atlético de Madrid,2.0,2.0,0.0,0.0,1.0,30,1,1,2,38,3.0,0.0,5.0,17.0,2.0,11.0,8.0,2.0,2.0,33.0,30.0,11.0,16.0,24.0,"589,00 M €","27,8","24,54 M €",33.0,323.0,"10,2 %"
